date,forecast
2023-05-15,231.3638
2023-05-16,230.98216
2023-05-17,230.3565
2023-05-18,232.0381
2023-05-19,233.72847
2023-05-20,232.27692
2023-05-21,230.10873
2023-05-22,232.1644
2023-05-23,228.02312
2023-05-24,228.40898
2023-05-25,232.01645
2023-05-26,230.28339
2023-05-27,232.02731
2023-05-28,230.10873
2023-05-29,227.9365
2023-05-30,224.63548
2023-05-31,226.30667
2023-06-01,228.20113
2023-06-02,225.02011
2023-06-03,228.13826
2023-06-04,223.08322
2023-06-05,227.35913
2023-06-06,227.22357
2023-06-07,226.47287
2023-06-08,227.20424
2023-06-09,227.09608
2023-06-10,226.8373
2023-06-11,225.52379
2023-06-12,228.59882
2023-06-13,226.58725
